;;;RESIDENTE;;;;;TURISTA;;;;
Origem;Destino;Par;CT;CP;ME;LP;LT;CT;CP;ME;LP;LT
3;5;3-5;0;0;0;98,5;98,5;0;0;0;22;22
3;13;3-13;0;0;0;159;159;0;0;0;31,5;31,5
3;17;3-17;0;0;0;192;192;0;0;0;38;38
5;3;5-3;0;0;0;96,5;96,5;0;0;0;33;33
5;5;5-5;0;0;1500;0;0;0;0;987;0;0
5;6;5-6;0;0;0;18,5;18,5;0;0;0;7;7
5;10;5-10;0;0;0;86,5;86,5;0;0;0;49,5;49,5
5;13;5-13;0;0;657,49;657,49;657,49;0;0;240;240;240
5;14;5-14;0;0;102;0;0;0;0;249;0;0
5;17;5-17;0;0;600,52;600,52;600,52;0;0;403,58;403,58;403,58
6;5;6-5;0;0;0;17,5;17,5;0;0;0;4,5;4,5
6;13;6-13;0;0;0;37;37;0;0;0;6;6
6;17;6-17;0;0;0;40;40;0;0;0;13;13
8;11;8-11;0;413;0;0;0;0;134;0;0;0
8;12;8-12;0;1587;0;0;0;0;358;0;0;0
8;13;8-13;0;3419;0;0;0;0;851;0;0;0
8;14;8-14;0;594;0;0;0;0;339;0;0;0
10;5;10-5;0;0;0;91;91;0;0;0;39,5;39,5
10;13;10-13;0;0;0;191;191;0;0;0;85;85
10;17;10-17;0;0;0;168;168;0;0;0;53,5;53,5
11;8;11-8;0;369;0;0;0;0;119;0;0;0
11;11;11-11;0;3524;0;0;0;660;660;0;0;0
11;12;11-12;0;3796;0;0;0;431;431;0;0;0
11;13;11-13;0;779;0;0;0;0;319;0;0;0
11;14;11-14;0;3559;0;0;0;1164;1164;0;0;0
12;8;12-8;0;1409;0;0;0;0;295;0;0;0
12;11;12-11;0;3792;0;0;0;432;432;0;0;0
12;12;12-12;0;21547;0;0;0;1435;1435;0;0;0
12;13;12-13;0;2348;0;0;0;0;618;0;0;0
12;14;12-14;0;3261;0;0;0;715;715;0;0;0
13;3;13-3;0;0;0;172;172;0;0;0;52,5;52,5
13;5;13-5;0;0;577;577;577;0;0;250;250;250
13;6;13-6;0;0;0;32;32;0;0;0;14,5;14,5
13;8;13-8;0;3324;0;0;0;0;833;0;0;0
13;10;13-10;0;0;0;200;200;0;0;0;85,5;85,5
13;11;13-11;0;787;0;0;0;0;400;0;0;0
13;12;13-12;0;2587;0;0;0;0;744;0;0;0
13;13;13-13;0;4661;4661;0;0;0;1655,5;1655,5;0;0
13;14;13-14;0;710;710;0;0;0;491,5;491,5;0;0
13;17;13-17;0;0;850;850;850;0;0;305;305;305
14;5;14-5;0;0;116;0;0;0;0;163;0;0
14;8;14-8;0;430;0;0;0;0;286;0;0;0
14;11;14-11;0;3259;0;0;0;135;135;0;0;0
14;12;14-12;0;2537;0;0;0;640,5;640,5;0;0;0
14;13;14-13;0;503;503;0;0;0;400;400;0;0
14;14;14-14;0;13745;0;0;0;5126;5126;0;0;0
14;17;14-17;0;0;170;0;0;0;0;249;0;0
17;3;17-3;0;0;0;156;156;0;0;0;47,5;47,5
17;5;17-5;0;0;620;620;620;0;0;456;456;456
17;6;17-6;0;0;0;30;30;0;0;0;13;13
17;10;17-10;0;0;0;120;120;0;0;0;78;78
17;13;17-13;0;0;750;750;750;0;0;389;389;389
17;14;17-14;0;0;128;0;0;0;0;473;0;0
17;17;17-17;0;0;2906;0;0;0;0;2538;0;0
